-74.017190, 40.700323,W,FALSE,G,2,3,3
-74.017190, 40.701511,W,FALSE,G,2,2,3
-74.017190, 40.702700,W,FALSE,G,4,3,4,1,4
-74.017190, 40.703888,W,FALSE,G,4,1,2,3,4
-74.017190, 40.705076,W,FALSE,G,4,2,1,2,1
-74.017190, 40.706265,W,FALSE,G,3,1,1,4
-74.017190, 40.707453,W,FALSE,G,5,4,4,1,4,3
-74.017190, 40.708641,W,FALSE,G,4,3,3,1,1
-74.017190, 40.709829,W,FALSE,G,4,2,3,2,2
-74.017190, 40.711018,W,FALSE,G,5,3,1,4,2,1
-74.017190, 40.712206,W,FALSE,G,4,4,4,2,3
-74.017190, 40.713394,W,FALSE,G,1,2
-74.017190, 40.714583,W,FALSE,G,2,4,2
-74.017190, 40.715771,W,FALSE,G,2,4,3
-74.017190, 40.716959,W,FALSE,G,4,2,1,2,2
-74.017190, 40.718148,W,FALSE,G,3,1,3,1
-74.017190, 40.719336,W,FALSE,G,2,1,3
-74.017190, 40.720524,W,FALSE,G,5,3,2,4,2,3
-74.017190, 40.721713,W,FALSE,G,3,2,1,3
-74.017190, 40.722901,W,FALSE,G,3,1,4,4
-74.017190, 40.724089,W,FALSE,G,4,3,4,4,2
-74.017190, 40.725277,W,FALSE,G,4,4,3,4,3
-74.017190, 40.726466,W,FALSE,G,4,3,2,4,3
-74.017190, 40.727654,W,FALSE,G,1,1
-74.017190, 40.728842,W,FALSE,G,5,4,3,3,2,1
-74.017190, 40.730031,W,FALSE,G,1,3
-74.017190, 40.731219,W,FALSE,G,1,4
-74.017190, 40.732407,W,FALSE,G,1,4
-74.017190, 40.733596,W,FALSE,G,1,3
-74.017190, 40.734784,W,FALSE,G,1,3
-74.017190, 40.735972,W,FALSE,G,3,1,1,4
-74.017190, 40.737160,W,FALSE,G,3,2,1,3
-74.017190, 40.738349,B,FALSE,G,4,4,4,2,2
-74.017190, 40.739537,B,FALSE,G,3,2,4,1
-74.017190, 40.740725,B,FALSE,G,2,3,4
-74.017190, 40.741914,B,FALSE,G,4,1,4,1,4
-74.017190, 40.743102,B,FALSE,G,2,1,4
-74.017190, 40.744290,B,FALSE,G,1,1
-74.017190, 40.745479,B,FALSE,G,5,4,1,2,4,2
-74.017190, 40.746667,B,FALSE,G,2,1,2
-74.017190, 40.747855,B,FALSE,G,3,4,1,2
-74.017190, 40.749044,B,FALSE,G,1,4
-74.017190, 40.750232,B,FALSE,G,5,2,4,3,1,1
-74.017190, 40.751420,B,FALSE,G,1,1
-74.017190, 40.752608,B,FALSE,G,2,1,2
-74.017190, 40.753797,B,FALSE,G,2,2,3
-74.017190, 40.754985,B,FALSE,G,2,2,1
-74.017190, 40.756173,B,FALSE,G,4,1,3,4,2
-74.017190, 40.757362,B,FALSE,G,3,2,4,4
-74.017190, 40.758550,B,FALSE,G,3,2,4,4
-74.017190, 40.759738,B,FALSE,G,2,1,2
-74.017190, 40.760927,B,FALSE,G,1,2
-74.017190, 40.762115,B,FALSE,G,3,1,3,1
-74.017190, 40.763303,B,FALSE,G,2,4,2
-74.017190, 40.764492,B,FALSE,G,3,2,2,4
-74.017190, 40.765680,B,FALSE,G,5,3,2,1,4,1
-74.017190, 40.766868,B,FALSE,G,2,1,2
-74.017190, 40.768056,B,FALSE,G,3,2,4,3
-74.017190, 40.769245,B,FALSE,G,5,3,2,2,1,4
-74.017190, 40.770433,B,FALSE,G,3,2,3,2
-74.017190, 40.771621,B,FALSE,G,4,1,3,4,1
-74.017190, 40.772810,B,FALSE,G,3,4,4,1
-74.017190, 40.773998,B,FALSE,G,3,1,1,3
-74.017190, 40.775186,B,FALSE,G,4,4,4,4,3
-74.017190, 40.776375,B,FALSE,G,5,1,4,4,1,3
-74.017190, 40.777563,B,FALSE,G,4,4,1,4,1
-74.017190, 40.778751,B,FALSE,G,2,3,3
-74.017190, 40.779940,B,FALSE,G,1,3
-74.017190, 40.781128,B,FALSE,G,4,3,2,2,1
-74.017190, 40.782316,B,FALSE,G,4,2,1,1,4
-74.017190, 40.783504,B,FALSE,G,3,2,3,1
-74.017190, 40.784693,B,FALSE,G,2,1,4
-74.017190, 40.785881,B,FALSE,G,1,1
-74.017190, 40.787069,B,FALSE,G,5,4,4,4,3,4
-74.017190, 40.788258,B,FALSE,G,2,2,3
-74.017190, 40.789446,B,FALSE,G,4,2,2,1,3
-74.017190, 40.790634,B,FALSE,G,5,2,4,2,3,2
-74.017190, 40.791823,B,FALSE,G,4,3,4,3,3
-74.017190, 40.793011,B,FALSE,G,5,1,2,3,3,1
-74.017190, 40.794199,B,FALSE,G,1,3
-74.017190, 40.795387,B,FALSE,G,1,3
-74.017190, 40.796576,B,FALSE,G,5,4,1,1,3,2
-74.017190, 40.797764,B,FALSE,G,5,1,2,1,1,2
-74.017190, 40.798952,B,FALSE,G,4,4,2,4,4
-74.017190, 40.800141,B,FALSE,G,3,4,3,1
-74.017190, 40.801329,B,FALSE,G,2,1,3
-74.017190, 40.802517,B,FALSE,G,1,2
-74.017190, 40.803706,B,FALSE,G,4,4,1,3,4
-74.017190, 40.804894,B,FALSE,G,5,4,1,3,2,3
-74.017190, 40.806082,B,FALSE,G,4,1,3,2,3
-74.017190, 40.807271,B,FALSE,G,1,3
-74.017190, 40.808459,B,FALSE,G,4,3,4,4,4
-74.017190, 40.809647,B,FALSE,G,4,1,4,1,4
-74.017190, 40.810835,B,FALSE,G,2,1,2
-74.017190, 40.812024,B,FALSE,G,5,4,2,1,3,3
-74.017190, 40.813212,B,FALSE,G,1,4
-74.017190, 40.814400,B,FALSE,G,3,4,1,2
-74.017190, 40.815589,B,FALSE,G,1,3
-74.017190, 40.816777,B,FALSE,G,3,2,2,1
-74.017190, 40.817965,B,FALSE,G,5,4,2,3,2,1
-74.017190, 40.819154,B,FALSE,G,4,3,3,4,3
-74.017190, 40.820342,B,FALSE,G,2,3,4
-74.017190, 40.821530,B,FALSE,G,2,1,2
-74.017190, 40.822719,B,FALSE,G,5,4,1,4,1,4
-74.017190, 40.823907,B,FALSE,G,3,3,4,4
-74.017190, 40.825095,B,FALSE,G,2,3,4
-74.017190, 40.826283,B,FALSE,G,3,4,2,4
-74.017190, 40.827472,B,FALSE,G,5,3,3,4,4,1
-74.017190, 40.828660,B,FALSE,G,2,2,4
-74.017190, 40.829848,B,FALSE,G,1,2
-74.017190, 40.831037,B,FALSE,G,4,1,1,1,1
-74.017190, 40.832225,B,FALSE,G,1,2
