-74.017190000,40.700320000,W,Nothing
-74.017190000,40.701508306,W,Nothing
-74.017190000,40.702696612,W,Nothing
-74.017190000,40.703884918,W,Nothing
-74.017190000,40.705073224,W,Nothing
-74.017190000,40.706261530,W,Nothing
-74.017190000,40.707449836,W,Nothing
-74.017190000,40.708638142,W,Nothing
-74.017190000,40.709826448,W,Nothing
-74.017190000,40.711014754,W,Nothing
-74.017190000,40.712203060,W,Nothing
-74.017190000,40.713391366,W,Nothing
-74.017190000,40.714579672,W,Nothing
-74.017190000,40.715767978,W,Nothing
-74.017190000,40.716956284,W,Nothing
-74.017190000,40.718144590,W,Nothing
-74.017190000,40.719332896,W,Nothing
-74.017190000,40.720521202,W,Nothing
-74.017190000,40.721709508,W,Nothing
-74.017190000,40.722897814,W,Nothing
-74.017190000,40.724086120,W,Nothing
-74.017190000,40.725274426,W,Nothing
-74.017190000,40.726462732,W,Nothing
-74.017190000,40.727651038,W,Nothing
-74.017190000,40.728839344,W,Nothing
-74.017190000,40.730027650,W,Nothing
-74.017190000,40.731215956,W,Nothing
-74.017190000,40.732404262,W,Nothing
-74.017190000,40.733592568,W,Nothing
-74.017190000,40.734780874,W,Nothing
-74.017190000,40.735969180,W,Nothing
-74.017190000,40.737157486,W,Nothing
-74.017190000,40.738345792,B,Nothing
-74.017190000,40.739534098,B,Nothing
-74.017190000,40.740722404,B,Nothing
-74.017190000,40.741910710,B,Nothing
-74.017190000,40.743099016,B,Nothing
-74.017190000,40.744287322,B,Nothing
-74.017190000,40.745475628,B,Nothing
-74.017190000,40.746663934,B,Nothing
-74.017190000,40.747852240,B,Nothing
-74.017190000,40.749040546,B,Nothing
-74.017190000,40.750228852,B,Nothing
-74.017190000,40.751417158,B,Nothing
-74.017190000,40.752605464,B,Nothing
-74.017190000,40.753793770,B,Nothing
-74.017190000,40.754982076,B,Nothing
-74.017190000,40.756170382,B,Nothing
-74.017190000,40.757358688,B,Nothing
-74.017190000,40.758546994,B,Nothing
-74.017190000,40.759735300,B,Nothing
-74.017190000,40.760923606,B,Nothing
-74.017190000,40.762111912,B,Nothing
-74.017190000,40.763300218,B,Nothing
-74.017190000,40.764488524,B,Nothing
-74.017190000,40.765676830,B,Nothing
